,index,variable,comment
0,0,Unnamed: 0,0
1,1,Unnamed: 0,1
2,2,Unnamed: 0,2
3,3,Unnamed: 0,3
4,4,0,"pk='17949640679160897' text='ฝาก❤️🔙ด้วยนะค้าบ ขอให้เจอแต่ลูกค้าน่ารักๆนะคะ 𝓣𝓱𝓪𝓷𝓴 𝔂𝓸𝓾 ✨' user=UserShort(pk='51210158029', username='fashion_officel65', full_name='เสื้อผ้าแฟชั่น Style Korea🌷🌥️', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/277317247_2610325645765640_4543443596393890506_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=h-gX8WyYNn8AX9XRnpk&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9R9b5h6y8wUaPdT7_NVdJ7F-K0bg7ci6GOgz9fyqxKJA&oe=6322C851&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/277317247_2610325645765640_4543443596393890506_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=h-gX8WyYNn8AX9XRnpk&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9R9b5h6y8wUaPdT7_NVdJ7F-K0bg7ci6GOgz9fyqxKJA&oe=6322C851&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 9, 3, 17, 17, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
5,5,0,"pk='17935573928266051' text='@mildpawineeth เคลียร์เลย😂' user=UserShort(pk='8602404939', username='aek_eeggegg', full_name='Aek_eeggegg', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/165757019_793420191606130_692823289531359661_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=H261xX0xf0kAX8AjwgA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-nL7zEIzMiY8MY-Cb1YyAntiCuOkvVTggwc3SBaB6_vA&oe=6322BE0F&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/165757019_793420191606130_692823289531359661_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=H261xX0xf0kAX8AjwgA&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-nL7zEIzMiY8MY-Cb1YyAntiCuOkvVTggwc3SBaB6_vA&oe=6322BE0F&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 9, 6, 49, 47, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=None like_count=None"
6,6,0,"pk='17945680130192061' text='Send pic on🎨\n@the_art_.gallery._' user=UserShort(pk='54873525327', username='pink.ie656', full_name='', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/301362502_149379871071129_5432149856931292131_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Ik5AQ-ZQOFIAX8qcxgQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9RvVtzKGT59T0PuRb2da8sJ4aNZY0qbv1ZCg9UtJAB5w&oe=63211480&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/301362502_149379871071129_5432149856931292131_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Ik5AQ-ZQOFIAX8qcxgQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9RvVtzKGT59T0PuRb2da8sJ4aNZY0qbv1ZCg9UtJAB5w&oe=63211480&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 8, 7, 19, 11, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
7,7,0,"pk='18209610268160856' text='แงงงง เสียใจอ่ะ' user=UserShort(pk='4063987061', username='meen_meena_', full_name=""Meen Mee'na"", profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/274681385_956728174977704_6050189510457521721_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=X6lJDzCMlagAX9wXPME&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_5YA1RE6G1jreF-Vb54id8DEjq7gaWtQb1nlCYb87_iQ&oe=63221746&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/274681385_956728174977704_6050189510457521721_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=X6lJDzCMlagAX9wXPME&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_5YA1RE6G1jreF-Vb54id8DEjq7gaWtQb1nlCYb87_iQ&oe=63221746&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 8, 2, 14, 26, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
8,8,1,"pk='18316924753051995' text='◡̈ แลก💗กันนะงับตัวเอง\n•—— ขอให้ยอดขายปังทั้งปีเลย 📈\n𝑻𝒉𝒂𝒏𝒌 𝑼〰️🤍' user=UserShort(pk='50402074729', username='poppymy5', full_name='', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/284465290_569740711230321_8947907952619631388_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=3UiaNyu-bC4AX9jXyB1&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9Vsh4i12LiQbz64S-Zj8fBBf07poOwbrnC2glqctsMGQ&oe=6321DD6B&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/284465290_569740711230321_8947907952619631388_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=3UiaNyu-bC4AX9jXyB1&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9Vsh4i12LiQbz64S-Zj8fBBf07poOwbrnC2glqctsMGQ&oe=6321DD6B&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 9, 3, 9, 53, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=1"
9,9,1,"pk='18058666270333698' text='ทำให้หายสงสัยไปเลยค่าา' user=UserShort(pk='1735978715', username='mildpawineeth', full_name='Mild Pawinee', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/275459308_1275367319638756_2703455314794131062_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-9uY0D2XvFoAX91GuGy&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9yixjkr3-uAIJvWlw3RjPrA6OWyhRWxcz4in6R2IxopA&oe=6321FECB&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/275459308_1275367319638756_2703455314794131062_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-9uY0D2XvFoAX91GuGy&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9yixjkr3-uAIJvWlw3RjPrA6OWyhRWxcz4in6R2IxopA&oe=6321FECB&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 9, 6, 48, 23, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
10,10,1,"pk='17932254020442318' text='Send this pic @The._art.factory' user=UserShort(pk='53255409412', username='heroine_ag_27', full_name='heroine_ag_27', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/294867494_567403041499629_6961229155962501619_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=GiIrqDQ72DUAX-U-dGD&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9UaSBjL8Df_ZLUb7WBQAjkd0nc89PBsva4fkc2xQXAyw&oe=63226C17&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/294867494_567403041499629_6961229155962501619_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=GiIrqDQ72DUAX-U-dGD&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9UaSBjL8Df_ZLUb7WBQAjkd0nc89PBsva4fkc2xQXAyw&oe=63226C17&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 8, 7, 19, 1, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
11,11,1,"pk='18009860560454449' text='❤️' user=UserShort(pk='38237977', username='aof_dsd', full_name='Aof Dechsakda', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/253343370_405787097858927_8105209728246051947_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=40Zl3jX3uNAAX8s6VC6&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_hZVr5QMoVq4cbBT_NpM4vfI3kG3hOpcXCjIRZcBCpdA&oe=632149F2&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/253343370_405787097858927_8105209728246051947_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=40Zl3jX3uNAAX8s6VC6&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_hZVr5QMoVq4cbBT_NpM4vfI3kG3hOpcXCjIRZcBCpdA&oe=632149F2&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 8, 1, 46, 19, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
12,12,2,"pk='17924232884457806' text='@casething_store99 เรียบร้อยงับบ' user=UserShort(pk='48432526193', username='skinnie.iceshop', full_name='ละลายสิว\u200b คัฟฟี่ YERPALL', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/242213382_378893300482887_6598532716123095502_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AFX24UAlVE8AX9EingP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9aJq8Kizl5ozF7f46iui1zZlRpTIdIvXgLh2FcPOG9kQ&oe=6320FC77&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/242213382_378893300482887_6598532716123095502_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=AFX24UAlVE8AX9EingP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9aJq8Kizl5ozF7f46iui1zZlRpTIdIvXgLh2FcPOG9kQ&oe=6320FC77&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 9, 3, 1, 42, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=None like_count=None"
13,15,2,"pk='17943580799264766' text='😢' user=UserShort(pk='1521623853', username='nnnuny', full_name='Phanida Anu', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/291432426_737226127483717_9121450571535994217_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=mHkIVJw7WwgAX8m8CCS&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-8DpOb6BgTDT5_aUUXA64w7dMHIibkWLXAN4Vl5O_5Lw&oe=63212039&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/291432426_737226127483717_9121450571535994217_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=mHkIVJw7WwgAX8m8CCS&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-8DpOb6BgTDT5_aUUXA64w7dMHIibkWLXAN4Vl5O_5Lw&oe=63212039&_nc_sid=705020'), profile_pic_url_hd=None, is_private=True, stories=[]) created_at_utc=datetime.datetime(2022, 9, 7, 16, 56, 40, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
14,16,3,"pk='18003849811481510' text='♡♡♡' user=UserShort(pk='34706101018', username='casepty.c', full_name='casepty.c ♡', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/296314856_1696797904015544_5815905861451571808_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Nnirc4DwvYYAX81SK6p&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_hG3Z3Aydmhtjmw0a93IrRE-aKwFovT9h0s-Rfcr3kQA&oe=632113CF&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/296314856_1696797904015544_5815905861451571808_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=Nnirc4DwvYYAX81SK6p&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_hG3Z3Aydmhtjmw0a93IrRE-aKwFovT9h0s-Rfcr3kQA&oe=632113CF&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 9, 3, 1, 16, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=1"
15,19,3,"pk='18012374953444852' text='แรงมากกกก 🥺😢' user=UserShort(pk='329176726', username='runchi.nails', full_name='ทำเล็บบางแสน', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/82404192_858589791253250_919194559794118656_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=COzohlKgzKgAX8uMhNv&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9bAtS5nkMwZfdkNBZlnvECOFquP3lRfKo-JXj2V0mSSA&oe=63220891&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/82404192_858589791253250_919194559794118656_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=COzohlKgzKgAX8uMhNv&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9bAtS5nkMwZfdkNBZlnvECOFquP3lRfKo-JXj2V0mSSA&oe=63220891&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 7, 15, 13, 24, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=0"
16,20,4,"pk='17949284915311730' text='ฝากไลค์กลับหน่อยงับ ออเดอร์ปังๆเลยนะคะ 𝓣𝓱𝓪𝓷𝓴 𝔂𝓸𝓾🧸🪄✨' user=UserShort(pk='48821801680', username='casething_store99', full_name='เสื้อผ้าแฟชั่น ราคาถูกสุดๆ⚠️', profile_pic_url=HttpUrl('https://instagram.fkkc3-1.fna.fbcdn.net/v/t51.2885-19/261149022_640467753798248_2334327319164742116_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=0G8c3edhRykAX-yBBUU&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8eStyiNJ-Hmx3kQYj5H0SkiepVeO9zrBeOpZ-TsE3vQQ&oe=6321F14C&_nc_sid=705020', scheme='https', host='instagram.fkkc3-1.fna.fbcdn.net', tld='net', host_type='domain', port='443', path='/v/t51.2885-19/261149022_640467753798248_2334327319164742116_n.jpg', query='stp=dst-jpg_s150x150&_nc_ht=instagram.fkkc3-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=0G8c3edhRykAX-yBBUU&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8eStyiNJ-Hmx3kQYj5H0SkiepVeO9zrBeOpZ-TsE3vQQ&oe=6321F14C&_nc_sid=705020'), profile_pic_url_hd=None, is_private=False, stories=[]) created_at_utc=datetime.datetime(2022, 9, 9, 3, 1, tzinfo=datetime.timezone.utc) content_type='comment' status='Active' has_liked=False like_count=1"
