,comment_text,username
0,,
1,,
2,,
3,,
4,'ฝาก❤️🔙ด้วยนะค้าบ ขอให้เจอแต่ลูกค้าน่ารักๆนะคะ 𝓣𝓱𝓪𝓷𝓴 𝔂𝓸𝓾 ✨',"'fashion_officel65',"
5,'@mildpawineeth เคลียร์เลย😂',"'aek_eeggegg',"
6,'Send pic on🎨\n@the_art_.gallery._',"'pink.ie656',"
7,'แงงงง เสียใจอ่ะ',"'meen_meena_',"
8,'◡̈ แลก💗กันนะงับตัวเอง\n•—— ขอให้ยอดขายปังทั้งปีเลย 📈\n𝑻𝒉𝒂𝒏𝒌 𝑼〰️🤍',"'poppymy5',"
9,'ทำให้หายสงสัยไปเลยค่าา',"'mildpawineeth',"
10,'Send this pic @The._art.factory',"'heroine_ag_27',"
11,'❤️',"'aof_dsd',"
12,'@casething_store99 เรียบร้อยงับบ',"'skinnie.iceshop',"
13,'😢',"'nnnuny',"
14,'♡♡♡',"'casepty.c',"
15,'แรงมากกกก 🥺😢',"'runchi.nails',"
16,'ฝากไลค์กลับหน่อยงับ ออเดอร์ปังๆเลยนะคะ 𝓣𝓱𝓪𝓷𝓴 𝔂𝓸𝓾🧸🪄✨',"'casething_store99',"
17,'หายไวๆนะคะะ \U0001faf6',"'saipannsp',"
18,'😍😍😍',"'skinnie.iceshop',"
19,'แงง',"'baitoeysnt',"
20,'🙌🙌🙌',"'skinnie.iceshop',"
21,'🥺🥺🥺🥺🥺 เทคแคร์นะคะะะะ',"'ttttunyong',"
22,'🔥🔥🔥',"'skinnie.iceshop',"
23,'หายไว ๆ นะคะ',"'pond_wcrpss',"
24,'❤️❤️❤️❤️',"'skinnie.iceshop',"
25,'❤️❤️',"'pond_wcrpss',"
26,'หายไวๆน๊า',"'noonnoizz',"
27,'Wow 😍 send pic on @paradise.of_nails_',"'army__lover__only',"
