,วันที่,หัวเรื่อง,แหล่งข่าว,ลิงค์
0,2022-09-09 07:28:39,Siam Paragon Bangkok International Fashion Week 2022 (BIFW2022) 21-25 กันยายน 2565 ณ สยามพารากอน - อาร์วายที9, อาร์วายที9,https://www.ryt9.com/s/prg/3355430
1,2022-09-08 23:00:00,ในประเทศ - ชุมทางอีสาน : 9 กันยายน 2565 - หนังสือพิมพ์แนวหน้า, ชุมทางอีสาน : 9 กันยายน 2565 - หนังสือพิมพ์แนวหน้า,https://www.naewna.com/local/678875
2,2022-09-08 15:16:24,ต้อนรับวิทยาการการประชุมการเข้าร่วมเครือข่ายวิจัย - เชียงไหม่นิวส์, เชียงไหม่นิวส์,https://www.chiangmainews.co.th/social/2727385/
3,2022-09-07 15:19:32,"รองปลัดกระทรวงดิจิทัลฯ ร่วมงาน ""Digital Transformation 2022"" บรรยายหัวข้อ ""PDPA Basic - อาร์วายที9", อาร์วายที9,https://www.ryt9.com/s/prg/3354722
4,2022-09-07 04:41:42,เปิดกำหนดการรับสมัคร TCAS66 ม.ขอนแก่น เริ่มรอบแรก 22 พฤศจิกายนนี้ - Dek-D.COM, Dek-D.COM,https://www.dek-d.com/tcas/61078/
5,2022-09-07 00:35:00,ฝนถล่ม กทม.ท่วมหลายจุด-ม.เกษตรศาสตร์อ่วม - ผู้จัดการออนไลน์, ผู้จัดการออนไลน์,https://mgronline.com/onlinesection/detail/9650000085779
6,2022-09-06 10:48:00,"จ.ขอนแก่น เตรียมจัดงาน""อีสานอุตสาหกรรมแฟร์"" ปีที่ 7 - บ้านเมือง", บ้านเมือง,https://www.banmuang.co.th/news/region/295127
7,2022-09-06 01:57:00,คณะบริหารธุรกิจ SPU ขอนแก่น ทีม SUCCESS ผ่านเข้ารอบ 18 ทีม โครงการประชันแผนธุรกิจเสมือนจริงของ - อาร์วายที9, อาร์วายที9,https://www.ryt9.com/s/prg/3354085
8,2022-09-05 23:00:00,รายงานพิเศษ : มข.เปิดพื้นที่เชิงสร้างสรรค์ด้านภาพยนตร์ เทศกาลหนังเมืองแคน ครั้งที่ 6 (Kaen International Film Festival) - หนังสือพิมพ์แนวหน้า, หนังสือพิมพ์แนวหน้า,https://www.naewna.com/local/678075
9,2022-09-05 13:02:00,ม.ขอนแก่นปัดจ่ายเยียวยา 66 ล้าน นศ.แพทย์ถูกบัสชนดับ ยันจะจ่ายก็ต่อเมื่อศาลสั่ง - ผู้จัดการออนไลน์, ผู้จัดการออนไลน์,https://mgronline.com/local/detail/9650000085340
10,2022-09-05 12:22:22,ม.ขอนแก่น เปิดหลักสูตรแพทย์ 2 ปริญญา เรียน 6 ปี ควบตรี-โท - ประชาชาติธุรกิจ, ประชาชาติธุรกิจ,https://www.prachachat.net/education/news-1038694
11,2022-09-05 10:30:00,วช.หนุนนวัตกรรมเลเซอร์สำหรับใช้ส่งเสริมสุขภาพช่องปากผู้สูงอายุในระดับปฐมภูมิ - อาร์วายที9, อาร์วายที9,https://www.ryt9.com/s/prg/3354551
12,2022-09-05 04:58:08,"จับตาปลัดเกษตรคนใหม่ วัดใจ ""เฉลิมชัย"" คาดเคาะ 3 รายชื่อ เสนอ ครม.พรุ่งนี้ - ประชาชาติธุรกิจ", ประชาชาติธุรกิจ,https://www.prachachat.net/economy/news-1038122
13,2022-09-05 04:03:50,มช.จับมือ ม.สงขลา และม.ขอนแก่น จัดโครงการประชุมวิชาการ - เชียงไหม่นิวส์, เชียงไหม่นิวส์,https://www.chiangmainews.co.th/learning/2723231/
14,2022-09-04 23:00:00,มข.-Universitat Muhamadiyah Yogyakarta เดินหน้าพัฒนาความร่วมมือด้านวิชาการ และวิจัย - หนังสือพิมพ์แนวหน้า, หนังสือพิมพ์แนวหน้า,https://www.naewna.com/local/677787
15,2022-09-03 12:50:00,"เปิดเกณฑ์ TCAS66 ""คณะแพทยศาสตร์"" ม.ขอนแก่น รับกว่า 288 ที่นั่ง รวมหลักสูตรใหม่ - Dek-D.COM", Dek-D.COM,https://www.dek-d.com/tcas/61049/
16,2022-09-03 12:21:00,"ไม่ขอทน ""หมา"" โดนปั่นจักรยานมายิงถึงหน้าบ้าน เจ้าของร้องตำรวจ ล่าตัวคนร้าย - คมชัดลึก", คมชัดลึก,https://www.komchadluek.net/news/crime/528538
17,2022-09-03 07:00:00,สถานการณ์แรงงานประจำสัปดาห์ 3-9 ก.ย. 2565 - Prachatai, Prachatai,https://prachatai.com/journal/2022/09/100433
18,2022-09-02 04:24:00,"#dek66 เตรียมตัว! ม.ขอนแก่น เปิดหลักสูตรใหม่ ""แพทยสองปริญญา"" (ตรีควบโท) - Dek-D.COM", Dek-D.COM,https://www.dek-d.com/tcas/60934/
19,2022-09-02 03:07:00,นำร่องแล้ว! โลตัส ร่วม ม.ขอนแก่น เพิ่มมูลค่าให้อาหารที่จำหน่ายไม่หมด บริจาคให้เกษตรกรใช้เลี้ยงแมลงโปรตีน - ผู้จัดการออนไลน์, ผู้จัดการออนไลน์,https://mgronline.com/greeninnovation/detail/9650000084280
20,2022-09-01 04:56:14,ประชาชนไฟเขียวกองสลากฯ ออกผลิตภัณฑ์ใหม่ 6 หลัก-3 หลัก แก้ขายแพง/หวยเถื่อน : อินโฟเควสท์ - สำนักข่าวอินโฟเควสท์, สำนักข่าวอินโฟเควสท์,https://www.infoquest.co.th/2022/230294
21,2022-08-31 07:00:00,ประกาศผลสอบ ก.พ.65 เช็กรายชื่อผู้สอบผ่าน ก.พ.(e-Exam) ที่นี่! - TrueID News, TrueID News,https://news.trueid.net/detail/LwGAPaooN45X
22,2022-08-30 07:00:00,"""หมอทวีศิลป์"" จาก โฆษก ศบค.-ผู้ตรวจราชการฯ สู่ตำแหน่ง ""รองปลัดสาธารณสุข"" - ฐานเศรษฐกิจ", ฐานเศรษฐกิจ,https://www.thansettakij.com/general-news/538476
23,2022-08-30 07:00:00,อธิบดีกรมส่งเสริมสหกรณ์ แจกทุนเรียนฟรี ป.ตรี ทายาทสหกรณ์โคนม - ฐานเศรษฐกิจ, ฐานเศรษฐกิจ,https://www.thansettakij.com/economy/trade/538460
24,2022-08-30 07:00:00,เปิดวิสัยทัศน์ “วรวุฒิ กุลแก้ว” กับภารกิจขับเคลื่อนมูลนิธิ “ทันตนวัตกรรม” - ไทยโพสต์, ไทยโพสต์,https://www.thaipost.net/public-relations-news/210991/
25,2022-08-28 07:00:00,KKBS ม.ขอนแก่น ประกาศความสำเร็จผ่านเกณฑ์ประเมิน EdPEx300 - ผู้จัดการออนไลน์, ผู้จัดการออนไลน์,https://mgronline.com/local/detail/9650000082481
26,2022-08-28 07:00:00,"มข.ผุดหลักสูตร ""แคนอคาเดมี"" ปั้นผู้ประกอบการหนังรุ่นใหม่ประดับวงการ - คมชัดลึก", คมชัดลึก,https://www.komchadluek.net/news/education/527918
27,2022-08-28 07:00:00,โลตัส ร่วมกับ ม.ขอนแก่น เพิ่มมูลค่าให้อาหารที่จำหน่ายไม่หมด - คมชัดลึก, คมชัดลึก,https://www.komchadluek.net/news/education/527843
28,2022-08-28 07:00:00,"""มข.” ช่วยเหลือครอบครัว นศ. หลังเกิดเหตุรถบัสชน จยย.นศ.ดับ - กรุงเทพธุรกิจ", กรุงเทพธุรกิจ,https://www.bangkokbiznews.com/social/social_education/1023452
29,2022-08-28 07:00:00,"""มข."" เตรียมจัด “มหกรรมมหาวิทยาลัยขอนแก่นบริการชุมชน” 16 ก.ย. นี้ - กรุงเทพธุรกิจ", กรุงเทพธุรกิจ,https://www.bangkokbiznews.com/social/social_education/1023416
30,2022-08-27 07:00:00,"""มข.""เผยการช่วยเหลือครอบครัว นศ. หลังเกิดอุบัติเหตุรถบัสชนจยย.นศ.ดับ - บ้านเมือง", บ้านเมือง,https://www.banmuang.co.th/news/region/293780
31,2022-08-25 07:00:00,“KGO Token-เหรียญดิจิทัลแรกเมืองไทย” อีกบทพิสูจน์ขอนแก่นสมาร์ทซิตี้ ร้านค้าร่วมรับนับพันแห่งแล้ว! - ผู้จัดการออนไลน์, ผู้จัดการออนไลน์,https://mgronline.com/local/detail/9650000081645
32,2022-08-25 07:00:00,สำนักงานสลากเพิ่มปริมาณสลากดิจิทัลงวด 1 ก.ย.นี้ เป็น 11.4 ล้านใบ - กรุงเทพธุรกิจ, กรุงเทพธุรกิจ,https://www.bangkokbiznews.com/business/business_finance/1022995
33,2022-08-24 07:00:00,"ยลโฉม 15 สาวงาม ผู้เข้าประกวด Miss Earth Thailand 2022 ห้ามพลาด! “พีพีทีวี” ถ่ายทอดสด ""รอบตัดสิน"" 29 ส.ค.นี้ - PPTVHD36", PPTVHD36,https://www.pptvhd36.com/news/%E0%B8%82%E0%B9%88%E0%B8%B2%E0%B8%A7%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B9%80%E0%B8%97%E0%B8%B4%E0%B8%87/179185
34,2022-08-24 07:00:00,คปภ.ขอนแก่นลงนาม MOU ประกันภัยมะเร็งท่อน้ำดี - ผู้จัดการออนไลน์, ผู้จัดการออนไลน์,https://mgronline.com/local/detail/9650000081302
35,2022-08-23 07:00:00,"ม.ขอนแก่น เปิดรับสมัคร ฝึกงานบนเรือสำราญ 1 ปี เงินเดือน 30,000 บาท - อีจัน Ejan", อีจัน Ejan,https://www.ejan.co/ejan-market/r5948jel14
36,2022-08-23 07:00:00,"แม่ ""น้องอาย"" เรียกค่าเยียวยา หลังลูกสาวนศ.แพทย์ ถูกรถบัสชนดับ 66 ล้าน - Post Today", Post Today,https://www.posttoday.com/social/general/687056
