,แหล่งข่าว
 กรุงเทพธุรกิจ,22
 ผู้จัดการออนไลน์,10
 Dek-D.COM,9
 ประชาชาติธุรกิจ,9
 บ้านเมือง,8
 อาร์วายที9,4
 คมชัดลึก,4
 เชียงไหม่นิวส์,3
 หนังสือพิมพ์แนวหน้า,3
 ฐานเศรษฐกิจ,3
 ช่อง 7HD,2
 TrueID Travel,2
 ไทยรัฐ,2
 ไทยโพสต์,2
 ช่องวัน 31,1
" กสพท"" แตกต่างจากเดิม เด็ก66 ต้องรู้อะไรบ้าง? - กรุงเทพธุรกิจ",1
 Kapook.com,1
 ข่าวไทยพีบีเอส,1
 สยามรัฐ,1
 thestandard.co,1
 26 ส.ค.นี้ - กรุงเทพธุรกิจ,1
 PPTVHD36,1
 บีบีซีไทย,1
 Sanook,1
 Post Today,1
 อีจัน Ejan,1
 ชุมทางอีสาน : 9 กันยายน 2565 - หนังสือพิมพ์แนวหน้า,1
 TrueID News,1
 สำนักข่าวอินโฟเควสท์,1
 Prachatai,1
 เปิด ม.ขอนแก่น มหาวิทยาลัยแห่งแรกในภาคตะวันออกเฉียงเหนือ – THE STANDARD - thestandard.co,1
