,cid,create_time,text,comment_likes
0,7112314024771224346,2022-06-23 06:11:01,ฝากเนื้อฝากตัวด้วยค่ะพิเชออ,1040
1,7112379270789661466,2022-06-23 10:24:20,แล้วหนูรุ่นที่ 58 ไม่ใช่ลูกป๊าหรอ ไม่มีอะไรเลยค่ะ🥹,773
2,7112381284608918298,2022-06-23 10:32:03,จะสู้ขาดใจเพื่อให้ตัวเองติดที่นี่5555,356
3,7112389036291261211,2022-06-23 11:02:11,ขอให้ผมได้เป็นกาลพฤกษ์ช่อที่60 สาธุ,24
4,7112364934570918682,2022-06-23 09:28:43,ข้าวเที่ยงที่แจกให้ อร่อยมากครับ🤣,299
5,7112378974214439707,2022-06-23 10:23:07,อยากเข้ามากๆๆๆขอให้ปีหน้าติด,129
6,7112414791893320474,2022-06-23 12:42:08,ตอนนั้นก็แตะ A เกรดออกไม่รู้ C มาจากไหน😂,21
7,7112387428267066139,2022-06-23 10:56:00,หวังว่าปีหน้าคงจะได้เจอกันนะครับ🥰,31
8,7112393116804350746,2022-06-23 11:18:06,ยินดีต้อนรับทุกคนจ้าา,45
9,7112388741591171867,2022-06-23 11:01:03,ช้ำใจกับ มขมากแม่🥲,8
10,7112363631731442458,2022-06-23 09:23:34,เป็นเรากระโดดไม่ถึง555,36
11,7112365671266501403,2022-06-23 09:31:31,สนุกมากๆแล้วข้าวก็อร่อยมั้กๆ🥰,33
12,7112371841926464282,2022-06-23 09:55:27,คณะเดียวกันกับพี่เจ้าของช่องค่ะ,11
13,7112387558517408538,2022-06-23 10:56:34,ปีหน้าเจอกันค่ะพี่,6
14,7112392418653340442,2022-06-23 11:15:18,แกร๊ ชั้น KKU49 เวลาผ่านไปเร็วมาก 😂,4
15,7112378693645845274,2022-06-23 10:22:10,รอหนูปีหน้านะคะ555,5
16,7112393111904518939,2022-06-23 11:18:00,รุ่น 52 คิดถึงจังเลยยยย,2
17,7112387235487810330,2022-06-23 10:55:11,พี่ๆสตาฟพักผ่อนเยอะๆนะครับ😂,4
18,7112421876420772634,2022-06-23 13:09:37,เราผู้ ซิ่วปีนี้ ปีหน้าเราต้องติดวิศวะมข.ให้ได้ 🥺,4
19,7112377534259872538,2022-06-23 10:17:34,กระโดดตรงจังหวะเกือบทุกคนเลย5555555,2
20,7112375575440474906,2022-06-23 10:10:01,สวัสดีพี่ๆที่มข ทุกๆคนนะคะ วันนี้สนุกมากๆเลยค่ะ💗,3
21,7112380544184353563,2022-06-23 10:29:10,ข้าวเที่ยงแซ่บหลายๆจ้า,2
22,7112382159981511450,2022-06-23 10:35:30,ยินดีต้อนรับน๋าาาน้อนๆทุกคนนนน,1
23,7112435175673676570,2022-06-23 14:01:14,ข้าวเที่ยงเมื่อวานอร่อยมากเลยค่ะ55556,3
24,7112394576145875739,2022-06-23 11:23:50,ข้าวอร่อยมากครับ😂,1
25,7112384193070842651,2022-06-23 10:43:35,ข้าวเที่ยงอร่อยมากกะเพราะที่ควรจะเป็นต้องแบบนี้,1
26,7112383109706482459,2022-06-23 10:39:15,รอผมอีกสองปีครับเป้าหมายคือ มข 555555,1
27,7112400026316292891,2022-06-23 11:44:52,คนที่159น่ารักมากคับ😳,1
28,7112367333079843610,2022-06-23 09:38:07,อนุญาตถามนะคะกระโดดทำไมหรอคะ,1
29,7119376817546953498,2022-07-12 06:58:16,น่ารักมากก 555555 ช่วยเหลือแบบทันท่วงที,10116
30,7119380581221303067,2022-07-12 07:12:50,ข้อเดียวกันกับการบ้านของเด็กpre-Enเลยค่ะ,3490
