,username,createTime,desc,commentCount,diggCount,playCount,shareCount
0,c__cherry.y,2022-06-23 05:59:03,ยินดีต้อนรับน้องๆกาลพฤกษ์ช่อที่59ทุกคนด้วยนะคะ☺️🎉สู้แดดมาก#มหาวิทยาลัยขอนแก่น #KKU,446,227600,2200000,1632
1,zara.ves,2022-07-12 05:31:43,#วิศวะมข #มข #kku,102,186300,1000000,1118
2,agronomy34,2022-07-24 11:39:03,แม่เอ้ยยย…………#พืชไร่มข #มหาวิทยาลัยขอนแก่น #เกษตรมข #kku,190,180900,1500000,1906
3,tanuphat_,2022-07-02 05:40:58,KKU ต้อนรับน้อง พี่น่ารักมาก❤️ #kku #มข #มหาวิทยาลัยขอนแก่น  #เจ้าพ่อมอดินแดง,644,180400,1900000,1540
4,axmmm_3,2020-07-19 11:35:12,ไปเรียนไกลบ้าน อีก 4 ปี #เด็กวิดวะ  #มหาลัยขอนแก่น #มข #KKU #หอใน #ปี1,1203,180500,1400000,654
5,pam_tttt,2022-04-12 13:00:40,มหาลัยที่ใฝ่ฝันจะเข้าศึกษา เเต่ตอนนี้เป็นจริงเเล้วนะ🎓❤️#มหาวิทลัยขอนแก่น #มข #kku,595,144800,1200000,687
6,jess_limited,2022-06-26 16:46:29,โห้ยยยยพี่เทอร์โบ ปี 2 วิศวะฯ มข. 🥰 #kku #มข,146,135600,792800,1982
7,apinyammm,2022-07-11 04:08:57,#มหาวิทยาลัยขอนแก่น #KKU 🙏🏻,417,124000,640700,472
8,pachara_46,2022-04-21 07:21:28,มหาวิทยาลัยขอนแก่น KKU #มอดินแดง #KKU,334,123200,764600,824
9,s_72m1,2022-05-21 00:51:25,#جامعه_الملك_خالد #2022 #kku #تخرج #explore #fyp #foryou #ترند,1928,102400,2900000,1496
10,icloud_60,2022-05-18 11:53:03,تكفففى يالمكيف #kku,1244,95700,2100000,969
11,bolobo_vv,2022-04-22 10:55:29,เป็นสิ่งแรกที่ทำให้ภูมิใจในตัวเอง #kku #dek65,641,93700,595100,499
12,keera_35,2022-06-27 12:42:59,มาเป็รพี่เนียน ก็ไม่ค่อยเนียนเท่าไหร่ 555 #kku58 #kku59 #kku,53,93000,572900,99
13,mar23cx_,2021-09-20 10:46:29,เหงาแหละ 55555555 #tiktokuni #อย่าปิดการมองเห็น #fypシ #เทคนิคการแพทย์มข #medtech #ขอนแก่น #มข #KKU,259,87600,570700,1341
14,babahbewtyrm,2021-12-02 06:47:44,จากปี1 สู่วันที่เรียนจบแน้วค่าาาา 🎓🎉 #kku #kkugraduation #fyp,235,82400,719400,2931
15,markximumm_,2021-08-13 02:41:24,จากมัธยมศึกษาตอนนี้เป็นนักศึกษาคณะนิติศาสตร์แล้ว 👨🏻‍⚖️ #markximumm #KKU,168,78700,387100,1044
16,xi_ba,2021-10-09 21:02:41,كان بيقول ذبه قال سالفة😭😭😭  #ثروباك #المايك_مفتوح #جامعة_الملك_خالد ##kku #جامعة_الاميرة_نورة #جامعة_الامام,734,78300,1200000,1546
17,axmmm_3,2020-07-22 10:28:57,วันปฐมนิเทศคณะ #เด็กวิดวะ #มหาลัยขอนแก่น #มข #kku #ปี1 #เรียนไกลบ้าน #เรียนไกลใจต้องสู้ ⚙️🧡,718,77600,619700,447
18,saichon_0323,2021-03-26 10:12:23,ถ้าจะให้เงินร้อยก็น้อยไปจัด6ล้านให้เลยเป็นไงมีเฮกันทั้งงาน555555 #นักศึกษาพยาบาล #มข #รับขีดหมวกพยาบาล #สายรหัส #kku #Nu,70,77400,1200000,117
19,ppkku_officials,2022-09-01 11:04:29,การแสดงมข.มันเป๊ะอยู่แล้วว 9.9 #บอลลี่คอก้ากสตูดิโอ  #ppkku #padramakku #การแสดงมข #kku ,178,76700,630100,583
20,x_ta2003,2022-04-19 03:05:50,ผมทำเต็มที่แล้ว #kku #มข #มหาวิทยาลัยขอนแก่น #dek65,205,76700,402000,254
21,porpattadon,2022-06-26 16:14:14,ยินดีต้อนรับน้องใหม่ KKU59 สู่รั้ว มอดินแดง #มข #มหาวิทยาลัยขอนแก่น #kku #ขอนแก่น #มอขอ,232,76100,494600,514
22,mm14d,2022-08-27 19:13:45,😂❤️ . #ابها #جامعة_الملك_خالد #university #kku .,1030,73900,1200000,3458
23,pbs_45,2021-06-16 17:03:28,5555 สภาพคือตุน #kku #ขอนแก่น #KKBS,277,70700,425700,641
24,jan_thinyy,2022-08-27 11:06:59,ไซส์ไหนสวย เลือกไม่ถูก😭 เหลือstethoscope ก็จะเหมือนหมอจริงๆและ🥹 #fyp #foryoupage #kku #ชุดกาวน์ #เสื้อฟิลด์ ,310,70500,1100000,46
25,ggssrra,2022-06-23 06:08:34,KKU59🧡 #kku #มหาวิทยาลัยขอนแก่น,227,69700,376800,293
26,ii.maaj,2022-06-06 13:07:07,وانتهت الرحلة الدراسية اليوم🎓♥️ #fyp #اكسبلور #foryou #fypシ #kku #ابها #viral #جامعة_الملك_خالد #خريج #فاينل #اكسبلورexplore #الجنوب #university #college #explore #tiktok #تخرج #السعودية #عسير #4u,1947,67800,966000,2333
27,jan_thinyy,2022-07-05 08:42:33,ประธานคณะเข้ามาไมงับ5555555 #fyp #สัตวแพทย์ #kku,72,67100,376700,106
28,nananjanji,2021-07-31 15:34:32,ม.ขอนแก่นเป็นออะไรที่ดีมาก เดินไปไหนมีแต่อาหารตา😁#มหาลัยขอนแก่น #ขอนแก่น #KKU #pov #fypシ #ขอนแก่นมีอะไรดี #ของดีขอนแก่น,247,62600,303500,1144
29,ii.maaj,2022-05-18 23:38:09,شعور مستحيل يوصفه الكلام😔♥️ #fyp #fypシ #foryou #graduation #خريج #جامعة_الملك_خالد #kku #ابها #viral,1389,61200,920100,1927
