,user_name,date,text,hashtags,favorite,retweet_count
0,w.,2022-09-09 07:30:00+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
1,บอกเพื่อนแล้ว ว่าจะเป็นหมอ,2022-09-09 07:34:41+00:00,RT @me_perfectindy: ✨เธรด✨ - ข้อมูลเกี่ยวกับคณะแพทย์ มข หลักสูตร MD และรีวิวคณะในปี 1 เทอม 1 ในมุมมองของเราจากที่เรียนมาทั้งสิ้นเกือบๆ 1 เท…,[None],0,676
2,Trafalgar's,2022-09-09 06:44:26+00:00,RT @fb021995: ขอจับมือเธอได้ไหม ในฐานะหมอดูก็ได้ #ขอนแก่นนัดเย็ด #สาวอวบ #สาวอ้วน #มข #มขนัดเย็ด https://t.co/WYKkzKdZ3i,"[['ขอนแก่นนัดเย็ด', 'สาวอวบ', 'สาวอ้วน', 'มข', 'มขนัดเย็ด']]",0,43
3,meowdaisy🎀,2022-09-09 04:46:06+00:00,RT @nwskkk: ประกาศขายสัญญาหอ9หลังค่าาา สนใจDMมาได้เลย #หอพักมข #หอแปดหลัง #หอเก้าหลัง #หออินเตอร์ #หอใน #ทีมมข #มข #KKU https://t.co/BBPnuw…,"[['หอพักมข', 'หอแปดหลัง', 'หอเก้าหลัง', 'หออินเตอร์', 'หอใน', 'ทีมมข', 'มข', 'KKU']]",0,34
4,𝘀𝘁𝘂𝗱𝘆𝘅𝗻𝗻.,2022-09-09 07:39:41+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
5,Blackpure มัมหมายัยโอย,2022-09-09 07:33:06+00:00,RT @me_perfectindy: ✨เธรดภาคต่อ✨ - รีวิวคณะแพทย์ มข หลักสูตร MD ในมุมมองของเราจากที่เรียนมาทั้งสิ้นเกือบๆ 1 เทอม🥹 ในปีแรก #dek66 #dek67 #เ…,"[['dek66', 'dek67']]",0,4
6,Queen of Swords,2022-09-09 05:05:53+00:00,RT @tsp303nungta: สมเด็จพระเจ้าลูกเธอ เจ้าฟ้าพัชรกิติยาภา นเรนทิราเทพยวดี กรมหลวงราชสาริณีสิริพัชร มหาวัชรราชธิดา เสด็จพื้นที่ ต.พลวงทอง อ.…,[None],0,2
7,มายองๆๆแง่วๆๆงึกๆงึกๆ,2022-09-09 06:57:04+00:00,หาฟิวลูกสาวกินข้าวกันตอนดึกๆ #มขfwb  #นัดเย็ดมข #มขนัดเย็ด #กังสดาล #มข #ขอนแก่นนัดเย็ด,"[['มขfwb', 'นัดเย็ดมข', 'มขนัดเย็ด', 'กังสดาล', 'มข', 'ขอนแก่นนัดเย็ด']]",0,0
8,Koko,2022-09-09 06:35:24+00:00,โจชัวร์ ถึงความเป็นมวยจะน้อยกว่า แต่สามารถเอาชนะนักชกไทยเมื่อ7ที่ผ่านมาที่เวทีมวยราชดำเนิน #มข #ขอนแก่น #หลังมอ https://t.co/dFRflkowvp,"[['มข', 'ขอนแก่น', 'หลังมอ']]",8,0
9,💛🇹🇭🙏🏻 TurkkO 🙏🏻🇹🇭💛 ไม่เอา 112 #สมรสเท่าเทียม,2022-09-09 06:34:04+00:00,1มข 710,[None],0,0
10,ชีโบ🍫 ft.อ่านหนังสือสอบGED,2022-09-09 06:20:49+00:00,มข.มอใจ https://t.co/bghWH0fJl9,[None],0,0
11,บะลึกบะลักบะอึกบะอักอุ๋งๆ ☀️ HOT ☀️,2022-09-09 06:13:07+00:00,@mingem_k น้องมะม่วง ถาปัต มข. https://t.co/wN6L4Umu1p,[None],0,0
12,คนตัวดำ..,2022-09-09 05:38:18+00:00,บรรยากาศมันได้....#ขอนแก่น #มข  #หลังมอ #fwbมข https://t.co/MmDvgilLwe,"[['ขอนแก่น', 'มข', 'หลังมอ', 'fwbมข']]",1,0
