,user_name,user_location,user_description,user_verified,date,text,hashtags,favorite,retweet_count
0,𝘀𝘁𝘂𝗱𝘆𝘅𝗻𝗻.,His/him,"#𝗱𝗲𝗸𝟲𝟲 𝗧𝗖𝗵𝗢𝟭𝟴 ,𝗴𝗿𝗮𝗱𝗲 𝟰.𝟬𝟬 ,𝗴𝗼𝗮𝗹: 𝗺𝗲𝗱 𝗥𝗔 𝗼𝗿 𝗞𝗞𝗨 | ความรู้ 📝📇#studyxnntwtnote",False,2022-09-09 07:39:41+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,บอกเพื่อนแล้ว ว่าจะเป็นหมอ,,i want to be a doctor 👩🏼‍⚕️.               goal: medical (kku) student🫣            #dek66,False,2022-09-09 07:34:41+00:00,RT @me_perfectindy: ✨เธรด✨ - ข้อมูลเกี่ยวกับคณะแพทย์ มข หลักสูตร MD และรีวิวคณะในปี 1 เทอม 1 ในมุมมองของเราจากที่เรียนมาทั้งสิ้นเกือบๆ 1 เท…,[None],0,676
0,Blackpure มัมหมายัยโอย,marcoace iwaoi erasercloud,istp | Seokjin | Heeseung | P'Iwa,False,2022-09-09 07:33:06+00:00,RT @me_perfectindy: ✨เธรดภาคต่อ✨ - รีวิวคณะแพทย์ มข หลักสูตร MD ในมุมมองของเราจากที่เรียนมาทั้งสิ้นเกือบๆ 1 เทอม🥹 ในปีแรก #dek66 #dek67 #เ…,"[['dek66', 'dek67']]",0,4
0,w.,Kookv forever,"get it, let it roll 🧈",False,2022-09-09 07:30:00+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,ฟ้าถ้าไม่ส่งเธอมา ก็ส่งพี่ชายเธอมา,SOYBAD,ถือคติคนใหม่ต้องดีกว่าคนเก่า ปัจจุบันเลยยังไม่มีแฟน😓,False,2022-09-09 07:29:40+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,Blackpure มัมหมายัยโอย,marcoace iwaoi erasercloud,istp | Seokjin | Heeseung | P'Iwa,False,2022-09-09 07:16:59+00:00,RT @me_perfectindy: ✨เธรด✨ - ข้อมูลเกี่ยวกับคณะแพทย์ มข หลักสูตร MD และรีวิวคณะในปี 1 เทอม 1 ในมุมมองของเราจากที่เรียนมาทั้งสิ้นเกือบๆ 1 เท…,[None],0,676
0,แค๊ปทันคะนั๊กเกิ้ล,,,False,2022-09-09 07:15:11+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,studybiior🫧,Dek66,2004 - M.6 #dek66🧸 status: fight for my way.☄️,False,2022-09-09 07:07:52+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,saturp ✳︎,✳︎ แซทเทอร์พี,𓏔 ɴᴊᴍ 🎱 — ᴊᴀᴍʀᴇɴ ✳︎,False,2022-09-09 07:00:05+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,dek66,,,False,2022-09-09 06:58:42+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,มายองๆๆแง่วๆๆงึกๆงึกๆ,,ชอบออกแนวครอบครัวอยากดูรูปDm มา นัดก็ได้ k.56,False,2022-09-09 06:57:04+00:00,หาฟิวลูกสาวกินข้าวกันตอนดึกๆ #มขfwb  #นัดเย็ดมข #มขนัดเย็ด #กังสดาล #มข #ขอนแก่นนัดเย็ด,"[['มขfwb', 'นัดเย็ดมข', 'มขนัดเย็ด', 'กังสดาล', 'มข', 'ขอนแก่นนัดเย็ด']]",0,0
0,shades of blue 📝,,➡️ #dek66 | goal : med 🩺,False,2022-09-09 06:44:52+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,Trafalgar's,,นอน,False,2022-09-09 06:44:26+00:00,RT @fb021995: ขอจับมือเธอได้ไหม ในฐานะหมอดูก็ได้ #ขอนแก่นนัดเย็ด #สาวอวบ #สาวอ้วน #มข #มขนัดเย็ด https://t.co/WYKkzKdZ3i,"[['ขอนแก่นนัดเย็ด', 'สาวอวบ', 'สาวอ้วน', 'มข', 'มขนัดเย็ด']]",0,43
0,Koko,,ผู้ชายที่ชอบศิลปะการต่อสู้,False,2022-09-09 06:35:24+00:00,โจชัวร์ ถึงความเป็นมวยจะน้อยกว่า แต่สามารถเอาชนะนักชกไทยเมื่อ7ที่ผ่านมาที่เวทีมวยราชดำเนิน #มข #ขอนแก่น #หลังมอ https://t.co/dFRflkowvp,"[['มข', 'ขอนแก่น', 'หลังมอ']]",8,0
0,💛🇹🇭🙏🏻 TurkkO 🙏🏻🇹🇭💛 ไม่เอา 112 #สมรสเท่าเทียม,"Phra Nakhon, Bangkok",อ่านว่าเติร์กโกะ,False,2022-09-09 06:34:04+00:00,1มข 710,[None],0,0
0,Noey,,,False,2022-09-09 06:32:24+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,กิมโปเด็กเทคนิค,,,False,2022-09-09 06:29:58+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,NongSallypxxt,"Los Angeles, CA",,False,2022-09-09 06:27:47+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,ไฮทานิ งุง,,ตังกินไม่ได้ แล้วจะเก็บไว้ทำไม ft.ปล่อยของ,False,2022-09-09 06:21:21+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,_diary.pak🤍 เรียนบ้างแต่บ่นมากกว่าเรียน,,"📓Faculty of business,RU 🌟 เล็งคณะแพทย์ไว้ค้าบ หมายถึงแฟนนะ55555 🤍deksiw 🪐 Goal MED KKU 🩺 🧺make friends",False,2022-09-09 06:21:11+00:00,"RT @me_perfectindy: ลืมขายของตรงนี้ไปได้ไงเนี่ยยยย 

แพทย์ มข ไม่มีแคลคร้าบบบ เรียนวิชาแพทย์และเรียนเป็นบล็อกตั้งแต่ ปี 1 เลย

แต่เหมือนพี่…",[None],0,28
0,ชีโบ🍫 ft.อ่านหนังสือสอบGED,รักหยิ่นวอร์ที่สุดในโลก,ผมจะตามทุกคนที่ผมโดนตกฮะ,False,2022-09-09 06:20:49+00:00,มข.มอใจ https://t.co/bghWH0fJl9,[None],0,0
0,Meow meow,,,False,2022-09-09 06:20:35+00:00,"RT @TCASterApp: รวมวันรับสมัคร #TCAS66 รอบพอร์ต

มก. :  1 พ.ย. - 9 ม.ค.
มจพ. : 1 ต.ค. - 15 ม.ค.
สจล. : 1 พ.ย. - 20 ธ.ค.
มธ. : 1 - 17 ต.ค. ,…",[['TCAS66']],0,1331
0,บะลึกบะลักบะอึกบะอักอุ๋งๆ ☀️ HOT ☀️,,"แม่มะมิง
บางวันมัมหมา บางทีมัมเมีย
หวีดมิงแบบกระซิบ 
หวีดอีก12แบบตะโกน
💎 Carat since 2022 💎",False,2022-09-09 06:13:07+00:00,@mingem_k น้องมะม่วง ถาปัต มข. https://t.co/wN6L4Umu1p,[None],0,0
