Name,Comment,Time,Likes,Reply Count
Udoms,แนะนำให้มาช่วงต้นเดือนกุมภาพันธ์ ต้นกาลพฤกษ์ ต้นไม้ประจำ ม.ข. กำลังออกดอก สวยงามทั่วมหาวิทยาลัย เป็นสัญลักษณ์ว่าใกล้สอบปลายภาคแล้วนะและถ้าใครเรียนปีสุดท้ายก็ใกล้จบแล้วนะ ไม่กี่สัปดาห์ดอกกาลพฤกษ์ก็จะร่วงโรยเหมือนว่านักศึกษาที่ใกล้จบกำลังจะจาก ม.ข.ไป,2022-09-02T00:06:57Z,0,0
เอกนรินทร์ สุพานิช,ช่วงรับปริญญาอากาศดีมากๆ,2022-08-17T13:50:07Z,0,0
woravut lacharoj,https://www.youtube.com/watch?v=3Sxt9pY-9XM,2022-07-31T12:25:41Z,0,0
Kanyarat Boonkerd,หอสมุดมข.สาวเยอะมากครับ เป็นที่นอนที่อ่านหนังสือสบายมากครับ แต่ไม่รู้จะเปิดตอนไหน,2022-07-07T17:10:27Z,0,0
Tawan,"หอในบางหอเก่าจริง(เค้ากำลังทยอยรีโนเวทปีละหอสองหอ) แต่ราคาถูกแบบหาที่ไหนไม่ได้ ถ้าออกจากมหาลัยไปแล้วต่อให้ไปเช่าห้องเช่าเก่าๆก็ยังไม่ได้ถูกขนาดนี้เลยมั้ง แต่นี่คือสภาพยังโอเค หอมีความปลอดภัย ค่าน้ำค่าไฟไม่ต้องจ่ายซักบาท ยิ่งบางหอเพิ่งรีโนเวทได้ไม่กี่ปีก็ยังใหม่ แต่ค่าหอแค่เทอมละ3000ต้นๆงี้ 
ส่วนคนที่ต้องการแบบดีกว่านั้น ก็ยังมีหอ8-9หลัง หออินเตอร์ให้อยู่ แต่ทั้งหมดทั้งมวลทั้งหอในหออินเตอร์ จองยากมากจ้าา เต็มเร็วสุด",2022-06-27T15:16:38Z,0,0
Viivera Ch,ตึกที่ใหม่ คือเพิ่งสร้างจ่ะพี่จ๋าาา 🤣,2022-06-24T12:40:17Z,0,0
ทักษ์ดนัย แต้มพิมาย,ปังงมาก,2022-06-22T15:39:23Z,1,0
Dechudom Pamuta,คิดถึง ม.ขอนแก่น จัง อยู่ ม.ขอนแก่น 15 ปี ตรี โท เอก มารับราชการอยู่ภาคเหนือ ดูแล้วน้ำตาไหล🥹,2022-06-22T11:15:17Z,4,1
kittipong boonjuang,สุดครับ พี่จบป.เอกเลยหรอครับ ผมจบแค่ม.6ครับเพราะผมไม่ชอบเรียนในห้องเรียนแต่เคยเรียนป.ตรีสาขารัฐศาสตร์มหาลัยจุฬาที่มีพระเรียนด้วยครับแต่ไม่ไหวครับไม่ใช่แนวไม่ใช่สิ่งที่ชอบก็เลยออกเลยครับ,2022-06-25T15:02:26Z,0,
Wanida Donpunha,แวะมาเยี่ยมคณะเทคนิคการแพทย์ ใหม่นะคะ,2022-06-20T08:05:56Z,0,0
